videogames,videogamesLabel,gameModeLabel
http://www.wikidata.org/entity/Q215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,multiplayer video game
http://www.wikidata.org/entity/Q217638,Project Snowblind,multiplayer video game
http://www.wikidata.org/entity/Q220365,Need for Speed: Most Wanted (2005 video game),multiplayer video game
http://www.wikidata.org/entity/Q210844,Spore,single-player video game
http://www.wikidata.org/entity/Q226805,Torchlight II,multiplayer video game
http://www.wikidata.org/entity/Q210298,Call of Duty 2,single-player video game
http://www.wikidata.org/entity/Q213911,The Legend of Zelda: Ocarina of Time,single-player video game
http://www.wikidata.org/entity/Q239288,StarCraft II: Wings of Liberty,multiplayer video game
http://www.wikidata.org/entity/Q218568,Super Hexagon,single-player video game
http://www.wikidata.org/entity/Q219119,ZombiU,single-player video game
http://www.wikidata.org/entity/Q220216,Boin,single-player video game
http://www.wikidata.org/entity/Q220107,Zoo Tycoon 2,single-player video game
http://www.wikidata.org/entity/Q229436,3D Dot Game Heroes,single-player video game
http://www.wikidata.org/entity/Q229447,3D Monster Maze,single-player video game
http://www.wikidata.org/entity/Q240143,Maniac Mansion,single-player video game
http://www.wikidata.org/entity/Q244030,Diablo III,single-player video game
http://www.wikidata.org/entity/Q247210,Need for Speed: Underground,single-player video game
http://www.wikidata.org/entity/Q241377,Archlord,multiplayer video game
http://www.wikidata.org/entity/Q220767,Age of Empires,single-player video game
http://www.wikidata.org/entity/Q90975,Bumpy,hotseat
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two,multiplayer video game
http://www.wikidata.org/entity/Q88456,A Question of Sport,multiplayer video game
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,multiplayer video game
http://www.wikidata.org/entity/Q94355,Cars 2,multiplayer video game
http://www.wikidata.org/entity/Q128291,Anno 2070,multiplayer video game
http://www.wikidata.org/entity/Q126194,Minesweeper,
http://www.wikidata.org/entity/Q83843,Forza Horizon,single-player video game
http://www.wikidata.org/entity/Q100042,Blasteroids,single-player video game
http://www.wikidata.org/entity/Q111683,Chromehounds,single-player video game
http://www.wikidata.org/entity/Q115571,Memories Off 6: T-wave,single-player video game
http://www.wikidata.org/entity/Q128561,Q.U.B.E.,single-player video game
http://www.wikidata.org/entity/Q88947,Renegade,multiplayer video game
http://www.wikidata.org/entity/Q83524,Family Guy: Back to the Multiverse,single-player video game
http://www.wikidata.org/entity/Q83995,Warlock: Master of the Arcane,single-player video game
http://www.wikidata.org/entity/Q88649,Mission Asteroid,single-player video game
http://www.wikidata.org/entity/Q115529,Memories Off: Yubikiri no Kioku,single-player video game
http://www.wikidata.org/entity/Q115806,Heavy Metal: F.A.K.K. 2,single-player video game
http://www.wikidata.org/entity/Q119538,MineStorm,single-player video game
